,ss_username,cf_username,cf_rating,cc_username,cc_rating
8249,dekacc,dekacc,1207.2,dekacc,1491
8250,khaled001,khaled001,1207.2,khaled001,1491
8251,humble_fool46,humble_fool46,1070,humble_fool_46,1490
8252,tanishqsinghai,tanishqsinghai,1119,tanishqsinghai,1490
8253,mehediist,mehedi.cm,1128,mehedi706,1490
8254,tmt02,mu_mimo,1178,tmt02,1490
8255,limo_756,limo_756,1433,limo_756,1490
8256,ankit_StopStalk,unknown_user11,1206.4,ankit18396,1490
8257,sajjad_99,sajjad_99,1206.4,sajjad_99,1490
8258,guddan,guddan,1206.4,rajvip,1490
8259,tilara,tilara,1206.4,tilara,1490
8260,sir_mbstu,robinmbstu11,1206.4,robinmbstu12,1490
8261,lionel,roman111,1206.4,roman111,1490
8262,sathwik238,sathwik238,1206.4,sathwik238238,1490
8263,ayushkesarwani786,ayushkesarwani,1377,ayushkes0321,1489
8264,sohel_sec,sohel_sec,1205.6,sohel_sec,1489
8265,rafiul41,rafiul_41,1205.6,rafiul41,1489
8266,sachin793,sachin793,1205.6,sachin793,1489
8267,Ariful_farhad,ariful_farhad,1205.6,ariful_farhad,1489
8268,Shahan_362,mahmudul_karim,913,shahan36222,1488
8269,kartikchauhan,kartikchauhan,975,kartik4020,1488
8270,anandks,anand-k-s,1114,anandks,1488
8271,sidne,sidne,1493,sidne,1488
8272,rakib_cou,rakibul_islam_cou,1204.7,rakib_cou,1488
8273,vinay25mit,vinaymit,1204.7,vinay25mit,1488
8274,raj0028,raj0028,1204.7,raj0028,1488
8275,sultan11,sultaneele,1204.7,sultan11,1488
8276,amp1590,arunima1590,1204.7,amp1590,1488
8277,akshaygugly123,akshaygugly12,411,akshaygugly123,1487
8278,Priyanshugupta12,imgupta132,674,priaynshu7055,1487
8279,rawsome24,rawsome24,1022,raw_some,1487
8280,lucky1305,anshuman1305,1052,lucky1305,1487
8281,jovial_3,jovial3,1145,asppanda123,1487
8282,DurgaPrasad_Tulugu,t_durga_prasad,1172,durgaprasad544,1487
8283,Mamun01,sahal01,1204,come_back01,1487
8284,Manik,manik_garg,1216,manugarg2000,1487
8285,robayedl,robayedl,1221,robayedl,1487
8286,arnab_9997,i_love_kajal,1231,arnab_9997,1487
8287,wimpywarlord,wimpywarlord,1203.9,wimpywarlord,1487
8288,mshingote,mayurbabasahebshingote,1203.9,mayur_shingote,1487
8289,akashkumar,akashkumar,1203.9,akashkumar2,1487
8290,_Tani_,_Tani_,1203.9,tanmay_sachan,1487
8291,Speedtail15,bandaudi,935,rahul158_,1486
8292,aman0311,aman0311,1046,aman2290,1486
8293,Kanta_70,kanta_70,1142,kanta_70,1486
8294,kishynivas1996,kishynivas1996,1316,kishynivas_13,1486
8295,tushartaluja,tushartaluja,1203.1,tushartaluja,1486
8296,avinashpayak,avinashpayak,1203.1,avinashpayak,1486
8297,alreza,alreza203267,1203.1,gr_alreza,1486
8298,ved007,vedonice,716,vedonice007,1485
8299,Night_Walker,vedonice,716,vedonice007,1485
8300,avatar_7,avatar_7,1029,avatar_7,1485
8301,bhavya1902,from_b_to_binary,1095,bhavya1902,1485
8302,hsharsh,hsharsh,1346,hsharsh,1485
8303,ateev_mishra7,ateev_mishra7,1202.2,ateevmishra280,1485
8304,sejalfarkya,sejalfarkya,1202.2,sejalfarkya,1485
